start_time,range_min,duct_time,forcus_f,UHR_file_name,lsm,duct_wid_data_n,IorD,Plotted
2018-06-06/11:25:00,20,2018-06-06/11:41:33,"[2.,3.,4.,5.,6.]",/Users/ampuku/Documents/duct/code/IDL/UHR_tplots/f_UHR_2018-06-06/112500.tplot,"[0.00037287, 0.000200686]",7,D,
2017-04-12/22:15:00,20,2017-04-12/22:25:09,"[2.,3.,4.,5.,6.]",kuma,"[0.00011376926549760376, 0.0004171912826452921]",2,D,1
2017-04-12/22:15:00,20,2017-04-12/22:26:03,"[2.,3.,4.,5.,6.]",kuma,"[0.00014294477713674156, 0.0002738545817206499]",3,D,1
2017-07-14/02:40:00,20,2017-07-14/02:51:50,"[2.,3.,4.,5.]",kuma,"[0.00011777949274519999, 0.0001460287142823464]",6,D,1
2017-07-14/02:40:00,,2017-07-14/02:53:50,"[0.4, 0.8, 1.2, 1.6]",kuma,"[0.00011777949274519999, 0.0001460287142823464]",2,I,1
2017-04-11/08:00:00,20,2017-04-11/08:07:47,"[8.,10.,12.,14.,16.]",kuma,"[0.0002126554104742885, 0.0002558529595174238]",3,D,1
2017-04-11/08:00:00,,2017-04-11/08:09:14,"[8.,10.,12.,14.,16.]",kuma,"[0.0002126554104742885, 0.0002558529595174238]",1,D,1
2017-04-11/08:00:00,,2017-04-11/08:10:25,"[6.,8.,10.,12.,14.]",kuma,"[0.0002126554104742885, 0.0002558529595174238]",2,D,1
2017-04-11/08:00:00,,2017-04-11/08:12:13,"[6.,8.,10.,12.,14.]",kuma,"[0.0002126554104742885, 0.0002558529595174238]",1,D,1
2017-04-11/08:00:00,,2017-04-11/08:14:49,"[6.,8.,10.,12.]",kuma,"[0.0002126554104742885, 0.0002558529595174238]",1,D,1
2017-05-15/06:10:00,20,2017-05-15/06:29:22,"[6.,8.,10.,12.,14.]",kuma,"[0.0007094221505534363, -0.0009700368432542817]",3,D,1
2017-05-15/06:10:00,,2017-05-15/06:30:09,"[6.,8.,10.,12.,14.]",kuma,"[0.0007094221505534363, -0.0009700368432542817]",2,D,1
2017-05-15/06:10:00,,2017-05-15/06:32:03,"[6.,8.,10.,12.,14.]",kuma,"[0.0007094221505534363, -0.0009700368432542817]",5,D,1
2017-05-15/06:10:00,,2017-05-15/06:33:28,"[6.,8.,10.,12.,14.]",kuma,"[0.0007094221505534363, -0.0009700368432542817]",3,D,1
2017-05-15/06:10:00,,2017-05-15/06:39:22,"[6.,8.,10.,12.,14.]",kuma,"[0.0007094221505534363, -0.0009700368432542817]",1,D,1
2017-05-15/06:10:00,,2017-05-15/06:40:04,"[6.,8.,10.,12.,14.]",kuma,"[0.0007094221505534363, -0.0009700368432542817]",2,D,1
2017-05-15/06:10:00,,2017-05-15/06:41:29,"[6.,8.,10.,12.,14.]",kuma,"[0.0007094221505534363, -0.0009700368432542817]",1,D,1
2017-05-15/06:10:00,,2017-05-15/06:44:11,"[6.,8.,10.,12.,14.]",kuma,"[0.0007094221505534363, -0.0009700368432542817]",1,D,1
