start_time,range_min,WFC,pointing vector,duct_time,forcus_f,UHR_file_name,lsm,duct_wid_data_n,IorD,Plotted
2017-04-01/01:45:00,15.0,,,2017-04-01/01:48:12,"[7.,9.,11.,13.,15.]",kuma,"[0.0001445828931184357, 0.000333513615533033]",1,D,
2017-04-01/01:45:00,,,,2017-04-01/01:51:10,"[7.,9.,11.,13.,15.]",kuma,"[6.843270033739466e-05, 0.0011029826700924526]",2,D,
2017-04-01/01:45:00,,,,2017-04-01/01:52:37,"[7.,9.,11.,13.,15.]",kuma,"[0.00015834195017224554, -0.000117070622975287]",2,D,
2017-04-03/10:25:00,40.0,,,2017-04-03/10:29:35,"[8.,10.,12.,14.,16.]",kuma,"[0.00010580251984096746, -5.345693013296855e-05]",4,D,
2017-04-03/10:25:00,,,,2017-04-03/10:32:05,"[6.,8.,10.,12.,14.,16.]",kuma,"[0.00010996022723548395, 6.701354868999998e-06]",1,D,
2017-04-03/10:25:00,,,,2017-04-03/10:35:20,"[6.,8.,10.,12.,14.,16.]",kuma,"[0.00011067829020588042, -2.722206936140646e-05]",2,D,
2017-04-03/10:25:00,,,,2017-04-03/10:38:15,"[6.,8.,10.,12.,14.,16.]",kuma,"[0.00010654157741214491, 0.00020173536905497327]",1,D,
2017-04-03/10:25:00,,,,2017-04-03/10:48:38,"[4.,6.,8.,10.,12.]",kuma,"[0.0001182513021367236, 0.00043332427443864457]",2,D,
2017-04-03/10:25:00,,,,2017-04-03/10:52:00,"[4.,6.,8.,10.,12.]",kuma,"[0.00011982136321245611, 0.00039482015593530725]",8,D,
2017-04-05/10:25:00,30.0,,,2017-04-05/10:31:30,"[3.,5.,7.,9.]",kuma,"[0.00018321061456568263, 0.0003437031160494985]",28,D,
2017-04-12/22:20:00,10,1,,,,kuma,,,,
