start_time,range_min,duct_time,forcus_f,UHR_file_name,lsm,duct_wid_data_n,IorD,Plotted
2017-04-07/16:05:00,50,2017-04-07/16:07:30,"[1.,2.,3.,4.]",kuma,,7,I,
,,2017-04-07/16:09:35,"[1.,2.,3.,4.]",kuma,,3,I,
,,2017-04-07/16:11:30,"[1.,2.,3.,4.]",kuma,,8,I,
,,2017-04-07/16:13:20,"[1.,2.,3.,4.]",kuma,,2,I,
,,2017-04-07/16:14:32,"[1.,2.,3.,4.,5.]",kuma,,3,I,
,,2017-04-07/16:43:30,"[1.,2.,3.,4.]",kuma,,30,I,
2017-04-13/14:40:00,20,2017-04-13/14:52:31,"[1.,2.,3.,4.]",kuma,,9,I,
,,2017-04-13/14:54:52,"[1.,2.,3.,4.]",kuma,,2,I,
2017-04-30/07:00:00,20,2017-04-30/07:09:55,"[1.,2.,3.,4.,5.]",kuma,,13,I,
,,2017-04-30/07:12:20,"[1.,2.,3.,4.,5.]",kuma,,3,I,
,,2017-04-30/07:14:42,"[1.,2.,3.,4.,5.]",kuma,,2,I,
