start_time,range_min,WFC,pointing vector,IorD,duct_time,forcus_f,UHR_file_name,lsm,duct_wid_data_n,Plotted
2017-05-01/16:30:00,90,,,,,,kuma,,,
2017-05-04/00:55:00,70,,,,,,kuma,,,
2017-05-05/14:20:00,75,,,,,,kuma,,,
2017-05-06/00:00:00,60,,,,,,kuma,,,
2017-05-07/02:30:00,20,,,,,,kuma,,,
2017-05-08/04:20:00,40,,Scattered,,,,unreadable,,,
2017-05-08/13:20:00,80,,Nodata,,,,kuma,,,
2017-05-08/19:20:00,80,,,,,,kuma,,,
2017-05-09/05:40:00,15,,,,,,kuma,,,
2017-05-09/14:30:00,30,,Nodata,,,,kuma,,,
2017-05-09/21:00:00,15,,Nodata,,,,kuma,,,
2017-05-09/22:10:00,15,,Nodata,,,,kuma,,,
2017-05-09/23:30:00,30,,Nodata,,,,kuma,,,
2017-05-10/14:00:00,150,,Nodata,,,,kuma,,,
2017-05-11/18:00:00,30,,Nodata,,,,kuma,,,
2017-05-11/22:10:00,90,,Nodata,,,,kuma,,,
2017-05-12/04:30:00,50,,Nodata,,,,kuma,,,
2017-05-13/08:00:00,80,1,Scattered,,,,kuma,,,
2017-05-13/09:50:00,30,,,,,,kuma,,,
2017-05-13/12:10:00,40,,,,,,kuma,,,
2017-05-13/21:40:00,70,,,,,,kuma,,,
2017-05-14/02:50:00,70,1,,,,,kuma,,,
2017-05-15/22:30:00,20,,,,,,kuma,,,
2017-05-16/19:50:00,60,,Nodata,,,,kuma,,,
2017-05-17/06:10:00,60,1,Scattered,,,,kuma,,,
2017-05-17/13:25:00,10,,Scattered,,,,kuma,,,
2017-05-18/08:10:00,10,,,,,,kuma,,,
2017-05-18/23:10:00,110,1,,,,,unreadable,,,
2017-05-19/05:20:00,20,1,Scattered,,,,kuma,,,
2017-05-21/14:00:00,40,1,,,,,kuma,,,
2017-05-22/08:50:00,10,,Scattered,,,,kuma,,,
2017-05-22/16:05:00,30,,Nodata,,,,kuma,,,
2017-05-23/13:00:00,80,1,,,,,kuma,,,
2017-05-24/15:00:00,30,,,,,,kuma,,,
2017-05-24/23:25:00,30,,,,,,kuma,,,
2017-05-25/00:10:00,40,,Scattered,,,,kuma,,,
2017-05-25/10:25:00,20,,,,,,kuma,,,
2017-05-25/13:00:00,30,1,Scattered,,,,kuma,,,
2017-05-26/00:10:00,50,1,Nodata,,,,unreadable,,,
2017-05-26/04:45:00,20,,Nodata,,,,kuma,,,
2017-05-27/03:20:00,45,1,,,,,kuma,,,
2017-05-27/18:00:00,50,,,,,,kuma,,,
2017-05-28/06:25:00,10,,Scattered,,,,unreadable,,,
2017-05-28/14:00:00,30,,,,,,kuma,,,
2017-05-28/23:30:00,20,,,,,,kuma,,,
2017-05-29/20:00:00,60,,Nodata,,,,kuma,,,
2017-05-30/12:10:00,80,,Nodata,,,,kuma,,,
2017-05-30/15:25:00,55,1,Nodata,,,,kuma,,,
2017-05-30/22:25:00,10,,Nodata,,,,kuma,,,
2017-05-31/01:20:00,40,1,Nodata,,,,kuma,,,
2017-05-31/16:10:00,70,,,,,,kuma,,,
